index,id,queue_pos,source,subject,answer,exp_len,severity,issues,question
48,official_114_2_subject1_48,,official_114_2_subject1,,B,645,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某數據工程師使用 DBSCAN 演算法對一份數百萬筆的高維顧客資料進 行聚類分析，但發現程式執行速度極慢，甚至出現記憶體不足的情 況。若要在不改變演算法核心邏輯的前提下，最有效提升其運算效率 的作法為何？
49,official_114_2_subject1_49,,official_114_2_subject1,,A,892,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某電商平台導入 AI 情感分析模型，用以自動偵測顧客評論中的負面 情緒並觸發客服機制。然而，上線後發現模型在面對不同語言或族群 書寫風格的評論時表現不一致，例如部分語氣強烈的正面評論被誤判 為負面，而禮貌但含批評意圖的評論卻被判為中性。若從技術與資料 治理的角度分析，下列哪一項描
50,official_114_2_subject1_50,,official_114_2_subject1,,C,679,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某設計師使用公司內部建置的生成式 AI 工具製作行銷素材，並輸入 提示語（Prompt）：「請生成一張模特兒手持品牌飲料、背景為海邊夕 陽的照片」。系統能正確生成主要主題與場景，但輸出的圖像中，品 牌標誌顏色常有誤差，或人物手部姿勢顯得不自然。若從多模態生成 模型的技術機制分析，
51,official_114_2_subject3_1,,official_114_2_subject3,,B,877,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某零售企業建立一個銷售預測模型，希望評估該模型在不同月份的新資料 上，是否仍能維持穩定的預測表現。資料科學團隊計畫利用統計方法檢驗 模型對未觀察資料的適應能力與泛化效果。下列哪一種方法最適合用於此 目的？
52,official_114_2_subject3_2,61,official_114_2_subject3,,C,622,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,在建立迴歸或分類模型時，若希望避免模型過度擬合（Overfitting），可 透過加入正則化項以限制模型的複雜度。其中，L1 正則化（Lasso）的主 要效果為何？
53,official_114_2_subject3_3,16,official_114_2_subject3,,C,891,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,在訓練非線性模型時，若目標函數為非凸函數（Non-convex Function）， 演算法在參數更新過程中可能出現多個極值點，導致最佳化結果不穩定。 請問此時最可能發生下列哪一種情況？
55,official_114_2_subject3_5,133,official_114_2_subject3,,A,862,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某智慧製造公司開發一套影像辨識系統，用於自動檢測生產線上的瑕疵產 品。系統採用卷積神經網路（Convolutional Neural Network, CNN）作為 主要模型架構，其中第一層卷積層（Convolutional Layer）主要負責的功 能為下列何者？"
56,official_114_2_subject3_6,24,official_114_2_subject3,,C,865,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某智慧城市團隊開發一套交通監控系統，用於即時辨識路口監視器影像中 的車輛與行人。團隊比較後發現，卷積神經網路（Convolutional Neural Network, CNN）在訓練與推論效率上，明顯優於傳統的全連接神經網路 （Fully Connected Neural Ne"
58,official_114_2_subject3_8,12,official_114_2_subject3,,D,864,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,資訊增益（Information Gain）常用於衡量特徵對分類結果的不確定性貢 獻程度，並據以進行特徵選擇。此方法主要應用於下列哪一類模型架構 中？
59,official_114_2_subject3_9,37,official_114_2_subject3,,A,637,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,在建構以距離為基礎的機器學習模型（如 KNN、SVM）時，下列哪一項資料 前處理方式最為關鍵？
60,official_114_2_subject3_10,122,official_114_2_subject3,,C,869,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,下列哪一種應用情境最適合導入 AutoML，以提升模型開發效率？
62,official_114_2_subject3_12,50,official_114_2_subject3,,C,654,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,"某智慧製造公司開發一套設備故障預測系統，利用感測器資料訓練深度神 經網路（Deep Neural Network, DNN）模型，以提前偵測異常運作跡象。 在訓練過程中，團隊發現模型收斂速度不穩定：有時過快導致過擬合，有 時又遲遲無法達到最佳準確率。開發團隊可以藉由調整下列哪一項"
65,official_114_2_subject3_15,,official_114_2_subject3,,B,578,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,在線性迴歸模型中，若 R²值為 0.85，其意義為何？
67,official_114_2_subject3_17,78,official_114_2_subject3,,B,1150,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,下列哪一種優化演算法內建動量（Momentum）的設計機制？
68,official_114_2_subject3_18,,official_114_2_subject3,,A,1095,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"下列何者最能同時反映 XGBoost（eXtreme Gradient Boosting）相較於傳 統梯度提升決策樹（Gradient Boosting Decision Tree, GBDT）的主要技 術改進？"
69,official_114_2_subject3_19,,official_114_2_subject3,,C,664,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某醫療機構開發疾病早期偵測模型，正樣本（確診病例）僅佔 3%。在模型 訓練與評估過程中，下列哪一種作法最不適合用於提升對少數類病例的預 測能力？
71,official_114_2_subject3_21,97,official_114_2_subject3,,C,909,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,某語音辨識系統開發團隊採用 Transformer 架構，為了讓模型能同時理解 語音片段中的發音特徵、語速變化與語意脈絡等多層次資訊，團隊在設計 中導入了多頭注意力（Multi-head Attention）機制。請問下列何者為此 機制的主要優點？
73,official_114_2_subject3_23,90,official_114_2_subject3,,A,880,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,一家再生能源公司希望預測未來三個月太陽能發電量的波動範圍。由於氣 候條件具有高度隨機性，且輸入變數（如日照時數、雲量、溫度）之間存 在不確定關係，工程團隊決定以隨機抽樣方式模擬多種可能情境，以估算 整體發電量的機率分佈與風險區間。請問此時所採用的技術最符合下列哪 一種方法？
74,official_114_2_subject3_24,,official_114_2_subject3,,C,1005,重大,可能缺原題素材/圖表/程式碼,某房地產公司利用多元迴歸模型（Multiple Regression Model）預測房 價，並繪製殘差圖（Residual Plot）檢查模型品質。結果顯示部分資料點 的殘差極大，且在高價區樣本中出現系統性彎曲分佈現象。根據此觀察， 下列何者為最可能的正確解釋？
75,official_114_2_subject3_25,,official_114_2_subject3,,A,660,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某金融機構正在建立傳統信用評分卡模型，採用邏輯迴歸（Logistic Regression）作為建模方法，並依循監理機關建議的標準化流程進行模型 開發。下列哪一項不是傳統信用評分卡模型開發流程中的常見步驟？
77,official_114_2_subject3_27,,official_114_2_subject3,,D,888,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某智慧製造團隊在開發瑕疵影像檢測模型時，發現使用線性激活函數 （Activation Function）後，模型的訓練準確率長期停滯，懷疑模型無法 學習到足夠複雜的特徵表達。若要改善此問題，下列哪一項調整方案最為 合適？
78,official_114_2_subject3_28,48,official_114_2_subject3,,C,678,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,一家零售電商公司希望建立顧客流失預測模型，用以判斷哪些會員可能在 三個月內不再消費。團隊以去年會員資料進行訓練，並僅採用「曾經購買 三次以上」的活躍顧客紀錄作為樣本。模型上線後，對整體會員進行預測 時，發現模型對於新註冊會員與低消費會員的預測準確率明顯偏低。下列 何者為造成此現象
79,official_114_2_subject3_29,,official_114_2_subject3,,D,886,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,在工業設備故障預測專案中，模型訓練與超參數調整均依賴於一段歷史數 據作為驗證集。然而，隨著設備運行環境與工況條件的變化，原有驗證集 已無法充分反映現況，導致模型在實際部署後的預測準確率逐漸下降。下 列哪一種策略最能有效提升模型在長期運行環境中的穩健性與泛化能力？
81,official_114_2_subject3_31,,official_114_2_subject3,,B,929,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某能源公司利用歷史氣象與用電資料，開發長期電力需求預測模型，採用 深度神經網路架構進行訓練。在訓練過程中，模型在訓練集上的損失值持 續下降，但在驗證集上，損失在第 80 輪後開始波動，呈現週期性上升與下 降。團隊懷疑模型受到季節性資料波動與隨機噪音影響，導致驗證損失難 以穩定收斂
82,official_114_2_subject3_32,92,official_114_2_subject3,,D,880,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略；可能缺原題素材/圖表/程式碼,某電信公司開發客戶流失預測模型，使用大量顧客行為特徵，例如通話時 長、上網頻率、帳單金額、客服聯絡次數等。在訓練過程中，團隊發現部 分特徵彼此高度相關，但同時也懷疑有些特徵對流失預測的貢獻度有限。 若希望模型在避免過擬合（Overfitting）的同時，能自動篩選出較具代表 性的
83,official_114_2_subject3_33,,official_114_2_subject3,,B,654,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某資料科學團隊正在開發一個客戶相似度比對系統，用於計算所有客戶之 間的相似度分數。若系統需逐一比對每一位客戶與其他所有客戶的資料組 合，此時演算法的時間複雜度最可能為哪一種？其代表意義為何？
84,official_114_2_subject3_34,32,official_114_2_subject3,,D,632,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某醫療人工智慧團隊正在開發心臟病風險預測模型，資料量僅有 150 筆， 其中陽性個案不到 8%。由於樣本數稀少且類別分布極不平衡，團隊希望在 有限資料下，仍能準確評估模型在不同資料上的表現穩定性，同時避免訓 練資料被過度切分而影響模型效能。若團隊希望在有限樣本下，同時兼顧 資料的
86,official_114_2_subject3_36,26,official_114_2_subject3,,D,871,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,某銀行計畫與多家合作機構共同訓練一個 AI 信用風險預測模型，為避免客 戶交易資料在傳輸與運算過程中外洩，技術團隊評估使用同態加密 （Homomorphic Encryption）技術。下列何者最能正確描述同態加密在此 應用中的關鍵特性？
87,official_114_2_subject3_37,47,official_114_2_subject3,,B,806,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某跨銀行風控平台希望整合多家銀行的用戶行為資料，用於訓練信用風險 預測模型。由於競爭與法規限制，各銀行僅願意提供加密後資料，且資料 在任何時間不得被平台解密。同時，平台需建立安全通訊協議以確保資料 在傳輸過程未被竄改或重放。 下列哪一組技術最能完整對應上述需求？
88,official_114_2_subject3_38,53,official_114_2_subject3,,B,623,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,附圖程式碼所計算的是哪一類型的評估指標？
90,official_114_2_subject3_40,87,official_114_2_subject3,,C,916,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,依據附圖程式碼進行資料處理，下列何者正確？
91,official_114_2_subject3_41,,official_114_2_subject3,,D,938,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,考慮擲出骰子並採用 Monte Carlo 方法估算條件機率，參考附圖程式碼。 事件 A：擲出偶數 事件 B：擲出大於 3 請問下列何者為條件機率 P(A∣B)的正確值？
92,official_114_2_subject3_42,14,official_114_2_subject3,,B,877,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,在深度神經網路中，不同層的參數量（parameter count）差異極大。有些 層雖然數量少但計算量大，有些則相反。了解參數分佈情形，有助於模型 壓縮與遷移學習設計。請問在 VGG16 中，下列何者的參數量最多？
93,official_114_2_subject3_43,131,official_114_2_subject3,,A,861,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,在神經網路中，了解各層的運算量分佈，有助於模型壓縮與硬體加速的策 略設計。請問在 VGG16 中，下列何者運算量(FLOPs)最多？
94,official_114_2_subject3_44,,official_114_2_subject3,,D,1166,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,VGG16 層數深且結構規則，由多層卷積、池化及全連接層組成。了解各層 的輸入/輸出維度、參數量及記憶體需求，有助於掌握 CNN 模型的組成邏輯 與實作技巧。根據 VGG16 的模型架構，下列敘述何者正確？
95,official_114_2_subject3_45,75,official_114_2_subject3,,B,707,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,在實務應用中，我們常使用遷移學習(transfer learning)技巧，即載入預 訓練模型（如 VGG16），凍結部分層的參數，只針對特定任務重新訓練最後 幾層，這種做法可節省訓練時間並提升模型效能。假設你要對 VGG16 進行 遷移學習(transfer learning)
96,official_114_2_subject3_46,65,official_114_2_subject3,,B,662,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,假設研究人員已將含有雜訊的手寫數字影像存放在變數 noisy 中。部分資 料經視覺化後的外觀如下： 他們嘗試使用 PCA 進行降噪，並希望能保留影像的主要特徵，同時去除影 像中的雜訊。然而，當程式執行後，觀察到影像仍然含有明顯的雜訊。研 究人員懷疑是程式中某個步驟的設定不正確，導
